algo,imbalance,fold,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80,thr_Cost5,f1_Cost5,recall_Cost5,precision_Cost5,flag_rate_Cost5,thr_Cost10,f1_Cost10,recall_Cost10,precision_Cost10,flag_rate_Cost10,thr_Cost20,f1_Cost20,recall_Cost20,precision_Cost20,flag_rate_Cost20,cost100_Cost5,cost100_inspect_all_r5,cost100_inspect_none_r5,cost100_Cost10,cost100_inspect_all_r10,cost100_inspect_none_r10,cost100_Cost20,cost100_inspect_all_r20,cost100_inspect_none_r20
SoftVote(LogReg+RF+HGB),class_weight,10,0.039934438220795336,0.39649122807017545,0.04201680672268908,119,5,0.0,0.0,0.0,0.04713501410480492,0.08130081300813008,1.0,0.0423728813559322,0.9915966386554622,0.05464824154460623,0.08264462809917356,1.0,0.04310344827586207,0.9747899159663865,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,21.008403361344538,95.7983193277311,21.008403361344538,42.016806722689076,95.7983193277311,42.016806722689076,84.03361344537815,95.7983193277311,84.03361344537815
SoftVote(LogReg+RF+HGB),class_weight,11,0.08762335703512174,0.49911504424778763,0.0423728813559322,118,5,0.2,0.2,0.2,0.009106036987793357,0.08130081300813008,1.0,0.0423728813559322,1.0,0.028497497234325347,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,0.4963081344742945,0.0,0.0,0.0,0.025423728813559324,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,87.28813559322033,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,12,0.05032060295306721,0.5061946902654868,0.0423728813559322,118,5,0.0,0.0,0.0,0.25097535085889033,0.04878048780487805,0.2,0.027777777777777776,0.3050847457627119,0.08047916354869503,0.0761904761904762,0.8,0.04,0.847457627118644,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,0.25097535085889033,0.04878048780487805,0.2,0.027777777777777776,0.3050847457627119,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,97.45762711864407,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,13,0.033367608836907085,0.256637168141593,0.0423728813559322,118,5,0.0,0.0,0.0,0.09209033175734999,0.044444444444444446,0.4,0.023529411764705882,0.7203389830508474,0.09928004193346225,0.0449438202247191,0.4,0.023809523809523808,0.711864406779661,1.000000001,0.0,0.0,0.0,0.0,0.5397331330173865,0.0,0.0,0.0,0.00847457627118644,0.09209033175734999,0.044444444444444446,0.4,0.023529411764705882,0.7203389830508474,21.1864406779661,95.76271186440678,21.1864406779661,43.220338983050844,95.76271186440678,42.3728813559322,121.1864406779661,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,14,0.06038382660363266,0.6,0.0423728813559322,118,5,0.0,0.0,0.2,0.37477982948144345,0.0,0.0,0.0,0.059322033898305086,0.030183417059664014,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272,1.000000001,0.0,0.0,0.0,0.0,0.5052895207798863,0.0,0.0,0.0,0.00847457627118644,0.3376539014509163,0.0,0.0,0.0,0.11016949152542373,21.1864406779661,95.76271186440678,21.1864406779661,43.220338983050844,95.76271186440678,42.3728813559322,95.76271186440678,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,15,0.05986695911551425,0.5912280701754387,0.04201680672268908,119,5,0.0,0.0,0.2,0.15987833510230712,0.10810810810810811,0.8,0.057971014492753624,0.5798319327731093,0.06012909090650601,0.09259259259259259,1.0,0.04854368932038835,0.865546218487395,1.000000001,0.0,0.0,0.0,0.0,0.5166598693875186,0.0,0.0,0.0,0.008403361344537815,0.3631849941437412,0.0,0.0,0.0,0.1092436974789916,21.008403361344538,95.7983193277311,21.008403361344538,42.857142857142854,95.7983193277311,42.016806722689076,94.95798319327731,95.7983193277311,84.03361344537815
SoftVote(LogReg+RF+HGB),class_weight,16,0.04840437549226879,0.4849557522123894,0.0423728813559322,118,5,0.0,0.0,0.0,0.4123687493320119,0.0,0.0,0.0,0.05084745762711865,0.039621649208466454,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,0.4123687493320119,0.0,0.0,0.0,0.05084745762711865,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,89.83050847457628,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,17,0.04126884832338447,0.352212389380531,0.0423728813559322,118,5,0.0,0.0,0.2,0.3230451824057818,0.0,0.0,0.0,0.1694915254237288,0.07949421901615593,0.0380952380952381,0.4,0.02,0.847457627118644,1.000000001,0.0,0.0,0.0,0.0,0.36498076815786923,0.0,0.0,0.0,0.1016949152542373,0.2664997031062298,0.05,0.2,0.02857142857142857,0.2966101694915254,21.1864406779661,95.76271186440678,21.1864406779661,52.54237288135593,95.76271186440678,42.3728813559322,96.61016949152543,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,18,0.05082455996277135,0.5079646017699115,0.0423728813559322,118,5,0.0,0.0,0.2,0.7976170807746912,0.0,0.0,0.0,0.0,0.06117371540932718,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406,0.7976170807746912,0.0,0.0,0.0,0.0,0.7976170807746912,0.0,0.0,0.0,0.0,0.7976170807746912,0.0,0.0,0.0,0.0,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,84.7457627118644,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,19,0.23061426340447685,0.5840707964601769,0.0423728813559322,118,5,0.4,0.4,0.4,0.005370531472596797,0.08130081300813008,1.0,0.0423728813559322,1.0,0.02966812699780932,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,84.7457627118644,95.76271186440678,84.7457627118644
