algo,imbalance,fold,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,repeat
LogReg,SMOTE,33,0.041894835287892396,0.36460176991150445,0.0423728813559322,118,5,0.0,0.0,0.0,0.003910576913452899,0.08130081300813008,1.0,0.0423728813559322,0.04249659186280548,0.08403361344537816,1.0,0.043859649122807015,6
LogReg,SMOTE,34,0.0581970431970432,0.4973451327433628,0.0423728813559322,118,5,0.0,0.0,0.2,0.015010872996538988,0.08196721311475409,1.0,0.042735042735042736,0.07109050850358668,0.07207207207207207,0.8,0.03773584905660377,6
LogReg,SMOTE,35,0.03803333223723872,0.3070175438596492,0.04201680672268908,119,5,0.0,0.0,0.2,0.03194948273655224,0.08196721311475409,1.0,0.042735042735042736,0.040076022555963334,0.08333333333333333,1.0,0.043478260869565216,7
LogReg,SMOTE,36,0.04918582758331791,0.49911504424778763,0.0423728813559322,118,5,0.0,0.0,0.0,0.8410774716395872,0.0,0.0,0.0,0.0815280015438372,0.0847457627118644,1.0,0.04424778761061947,7
LogReg,SMOTE,37,0.04826514193770831,0.47079646017699117,0.0423728813559322,118,5,0.0,0.0,0.2,0.24563072555311682,0.0963855421686747,0.8,0.05128205128205128,0.027318765505708612,0.0847457627118644,1.0,0.04424778761061947,7
LogReg,SMOTE,38,0.03532519582824929,0.3097345132743363,0.0423728813559322,118,5,0.0,0.0,0.0,0.3586504214819249,0.03636363636363636,0.2,0.02,0.029812934814666986,0.07207207207207207,0.8,0.03773584905660377,7
LogReg,SMOTE,39,0.04758783822693598,0.4690265486725664,0.0423728813559322,118,5,0.0,0.0,0.2,0.11891837550409803,0.08849557522123894,1.0,0.046296296296296294,0.017720153717178912,0.08130081300813008,1.0,0.0423728813559322,7
LogReg,SMOTE,40,0.06801252236135957,0.6350877192982456,0.04201680672268908,119,5,0.0,0.0,0.2,0.002905722750792408,0.08064516129032258,1.0,0.04201680672268908,0.06253399872259516,0.08196721311475409,1.0,0.042735042735042736,8
LogReg,SMOTE,41,0.03559811699111082,0.32389380530973455,0.0423728813559322,118,5,0.0,0.0,0.0,0.036262499789353204,0.07207207207207207,0.8,0.03773584905660377,0.03984597121944776,0.07207207207207207,0.8,0.03773584905660377,8
LogReg,SMOTE,42,0.03916465831720069,0.368141592920354,0.0423728813559322,118,5,0.0,0.0,0.0,0.7712697391347979,0.0,0.0,0.0,0.17996170206892356,0.075,0.6,0.04,8
LogReg,SMOTE,43,0.033320049777926776,0.26902654867256637,0.0423728813559322,118,5,0.0,0.0,0.0,0.9793513784977436,0.0,0.0,0.0,0.03190552789161018,0.06611570247933884,0.8,0.034482758620689655,8
LogReg,SMOTE,44,0.043363367579333366,0.4176991150442477,0.0423728813559322,118,5,0.0,0.0,0.2,0.8807536627898462,0.0,0.0,0.0,0.04551808128578126,0.08547008547008547,1.0,0.044642857142857144,8
LogReg,SMOTE,45,0.033060572974018126,0.2736842105263158,0.04201680672268908,119,5,0.0,0.0,0.0,0.7875960748806404,0.0,0.0,0.0,0.020485316601685448,0.0847457627118644,1.0,0.04424778761061947,9
LogReg,SMOTE,46,0.04453072214379857,0.4513274336283186,0.0423728813559322,118,5,0.0,0.0,0.0,0.0045170680042862605,0.08130081300813008,1.0,0.0423728813559322,0.026922998227710538,0.08196721311475409,1.0,0.042735042735042736,9
LogReg,SMOTE,47,0.03359144777885226,0.2548672566371682,0.0423728813559322,118,5,0.0,0.0,0.0,0.9285294450935876,0.0,0.0,0.0,0.05992600322664864,0.05454545454545454,0.6,0.02857142857142857,9
LogReg,SMOTE,48,0.05768961430726137,0.552212389380531,0.0423728813559322,118,5,0.0,0.0,0.2,0.0018444518805701843,0.08196721311475409,1.0,0.042735042735042736,0.024719811746929804,0.08196721311475409,1.0,0.042735042735042736,9
LogReg,SMOTE,49,0.03549054417511292,0.28495575221238945,0.0423728813559322,118,5,0.0,0.0,0.0,0.016654319846712274,0.05084745762711865,0.6,0.02654867256637168,0.05218327698640919,0.056074766355140186,0.6,0.029411764705882353,9
RF,class_weight,0,0.13734379517274736,0.7140350877192984,0.04201680672268908,119,5,0.2,0.4,0.4,0.01,0.08130081300813008,1.0,0.0423728813559322,0.03333333333333333,0.09803921568627451,1.0,0.05154639175257732,0
RF,class_weight,1,0.0349157206742346,0.22831858407079647,0.0423728813559322,118,5,0.0,0.0,0.0,0.10666666666666667,0.04081632653061224,0.2,0.022727272727272728,0.05,0.022988505747126436,0.2,0.012195121951219513,0
RF,class_weight,2,0.04549327865117339,0.4424778761061947,0.0423728813559322,118,5,0.0,0.0,0.0,0.03,0.09803921568627451,1.0,0.05154639175257732,0.03333333333333333,0.09803921568627451,1.0,0.05154639175257732,0
RF,class_weight,3,0.07114760508308896,0.4769911504424779,0.0423728813559322,118,5,0.2,0.2,0.2,0.0,0.08130081300813008,1.0,0.0423728813559322,0.016666666666666666,0.08547008547008547,1.0,0.044642857142857144,0
RF,class_weight,4,0.039827582580621856,0.39557522123893807,0.0423728813559322,118,5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.03333333333333333,0.06451612903225806,0.6,0.03409090909090909,0
RF,class_weight,5,0.27362637362637365,0.44561403508771935,0.04201680672268908,119,5,0.2,0.4,0.4,0.16333333333333333,0.3076923076923077,0.4,0.25,0.05333333333333334,0.05555555555555555,0.4,0.029850746268656716,1
RF,class_weight,6,0.03749720728444133,0.35575221238938054,0.0423728813559322,118,5,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.06,0.05128205128205128,0.4,0.0273972602739726,1
RF,class_weight,7,0.05490976281393535,0.5194690265486726,0.0423728813559322,118,5,0.0,0.0,0.2,0.06,0.07228915662650602,0.6,0.038461538461538464,0.04,0.10101010101010101,1.0,0.05319148936170213,1
RF,class_weight,8,0.09190791745555436,0.7123893805309734,0.0423728813559322,118,5,0.0,0.2,0.4,0.016666666666666666,0.08928571428571429,1.0,0.04672897196261682,0.02,0.09174311926605505,1.0,0.04807692307692308,1
RF,class_weight,9,0.04793166221609671,0.47876106194690266,0.0423728813559322,118,5,0.0,0.0,0.2,0.23666666666666666,0.0,0.0,0.0,0.04,0.10101010101010101,1.0,0.05319148936170213,1
RF,class_weight,10,0.03873217868664879,0.4043859649122807,0.04201680672268908,119,5,0.0,0.0,0.0,0.07,0.03278688524590164,0.2,0.017857142857142856,0.02,0.09174311926605505,1.0,0.04807692307692308,2
RF,class_weight,11,0.2650612517279184,0.6079646017699115,0.0423728813559322,118,5,0.2,0.4,0.4,0.013333333333333334,0.08333333333333333,1.0,0.043478260869565216,0.02666666666666667,0.09523809523809523,1.0,0.05,2
RF,class_weight,12,0.050304970260675555,0.43274336283185844,0.0423728813559322,118,5,0.0,0.0,0.2,0.06666666666666667,0.057971014492753624,0.4,0.03125,0.05333333333333334,0.075,0.6,0.04,2
RF,class_weight,13,0.04394267894267894,0.45929203539823016,0.0423728813559322,118,5,0.0,0.0,0.0,0.33666666666666667,0.0,0.0,0.0,0.02666666666666667,0.10416666666666667,1.0,0.054945054945054944,2
RF,class_weight,14,0.09100820470031984,0.6973451327433628,0.0423728813559322,118,5,0.0,0.2,0.4,0.30333333333333334,0.0,0.0,0.0,0.023333333333333334,0.08771929824561403,1.0,0.045871559633027525,2
RF,class_weight,15,0.09707482993197278,0.5964912280701755,0.04201680672268908,119,5,0.2,0.2,0.4,0.14333333333333334,0.14285714285714285,0.4,0.08695652173913043,0.03333333333333333,0.06315789473684211,0.6,0.03333333333333333,3
RF,class_weight,16,0.04462055210997079,0.4575221238938053,0.0423728813559322,118,5,0.0,0.0,0.0,0.17666666666666667,0.0,0.0,0.0,0.043333333333333335,0.08602150537634409,0.8,0.045454545454545456,3
RF,class_weight,17,0.058180708180708175,0.536283185840708,0.0423728813559322,118,5,0.0,0.0,0.2,0.14,0.07692307692307693,0.2,0.047619047619047616,0.06666666666666667,0.10810810810810811,0.8,0.057971014492753624,3
RF,class_weight,18,0.05648367101228437,0.5672566371681416,0.0423728813559322,118,5,0.0,0.0,0.2,0.5533333333333333,0.0,0.0,0.0,0.016666666666666666,0.0847457627118644,1.0,0.04424778761061947,3
RF,class_weight,19,0.13536019536019533,0.6831858407079646,0.0423728813559322,118,5,0.2,0.2,0.4,0.05333333333333334,0.11764705882352941,1.0,0.0625,0.03666666666666667,0.09523809523809523,1.0,0.05,3
RF,class_weight,20,0.04832812906583399,0.43157894736842106,0.04201680672268908,119,5,0.0,0.0,0.2,0.19333333333333333,0.0,0.0,0.0,0.02,0.05309734513274336,0.6,0.027777777777777776,4
RF,class_weight,21,0.11763177125400409,0.5699115044247788,0.0423728813559322,118,5,0.2,0.2,0.4,0.11,0.09302325581395349,0.4,0.05263157894736842,0.02666666666666667,0.08,0.8,0.042105263157894736,4
RF,class_weight,22,0.04013253297557066,0.41150442477876115,0.0423728813559322,118,5,0.0,0.0,0.0,0.3933333333333333,0.0,0.0,0.0,0.02666666666666667,0.0784313725490196,0.8,0.041237113402061855,4
RF,class_weight,23,0.0535582961169942,0.4734513274336283,0.0423728813559322,118,5,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.03666666666666667,0.08080808080808081,0.8,0.0425531914893617,4
RF,class_weight,24,0.05632016232005737,0.5079646017699115,0.0423728813559322,118,5,0.0,0.0,0.2,0.06,0.07692307692307693,0.6,0.0410958904109589,0.04,0.061855670103092786,0.6,0.03260869565217391,4
RF,class_weight,25,0.06696987752399867,0.6070175438596491,0.04201680672268908,119,5,0.0,0.0,0.4,0.4066666666666667,0.0,0.0,0.0,0.03333333333333333,0.09803921568627451,1.0,0.05154639175257732,5
RF,class_weight,26,0.062397588738465674,0.5389380530973451,0.0423728813559322,118,5,0.0,0.0,0.2,0.14333333333333334,0.11764705882352941,0.4,0.06896551724137931,0.03333333333333333,0.06,0.6,0.031578947368421054,5
RF,class_weight,27,0.07866795542711344,0.5752212389380532,0.0423728813559322,118,5,0.0,0.2,0.4,0.006666666666666667,0.08403361344537816,1.0,0.043859649122807015,0.03,0.08,0.8,0.042105263157894736,5
RF,class_weight,28,0.06976772227713715,0.45309734513274336,0.0423728813559322,118,5,0.2,0.2,0.2,0.19,0.09523809523809523,0.2,0.0625,0.03,0.07547169811320754,0.8,0.039603960396039604,5
RF,class_weight,29,0.0772668468025874,0.5150442477876106,0.0423728813559322,118,5,0.0,0.2,0.4,0.08666666666666667,0.13043478260869565,0.6,0.07317073170731707,0.013333333333333334,0.05309734513274336,0.6,0.027777777777777776,5
RF,class_weight,30,0.07367399455922359,0.39824561403508774,0.04201680672268908,119,5,0.2,0.2,0.2,0.11333333333333333,0.05263157894736842,0.2,0.030303030303030304,0.04666666666666667,0.07792207792207792,0.6,0.041666666666666664,6
RF,class_weight,31,0.05117576886622871,0.5407079646017698,0.0423728813559322,118,5,0.0,0.0,0.0,0.11,0.04,0.2,0.022222222222222223,0.023333333333333334,0.09174311926605505,1.0,0.04807692307692308,6
RF,class_weight,32,0.08076923076923077,0.3637168141592921,0.0423728813559322,118,5,0.2,0.2,0.2,0.02666666666666667,0.0761904761904762,0.8,0.04,0.03333333333333333,0.07920792079207921,0.8,0.041666666666666664,6
RF,class_weight,33,0.04847665797367471,0.43716814159292033,0.0423728813559322,118,5,0.0,0.0,0.2,0.21333333333333335,0.0,0.0,0.0,0.03333333333333333,0.061224489795918366,0.6,0.03225806451612903,6
RF,class_weight,34,0.08991119824703032,0.6451327433628318,0.0423728813559322,118,5,0.2,0.2,0.4,0.0033333333333333335,0.08264462809917356,1.0,0.04310344827586207,0.023333333333333334,0.09090909090909091,1.0,0.047619047619047616,6
RF,class_weight,35,0.26185404709436855,0.5657894736842105,0.04201680672268908,119,5,0.2,0.2,0.4,0.30666666666666664,0.0,0.0,0.0,0.03333333333333333,0.0784313725490196,0.8,0.041237113402061855,7
RF,class_weight,36,0.045362318840579716,0.4380530973451327,0.0423728813559322,118,5,0.0,0.0,0.2,0.17,0.06896551724137931,0.2,0.041666666666666664,0.01,0.08547008547008547,1.0,0.044642857142857144,7
RF,class_weight,37,0.05541962528263898,0.479646017699115,0.0423728813559322,118,5,0.0,0.0,0.2,0.1,0.08695652173913043,0.4,0.04878048780487805,0.05,0.07228915662650602,0.6,0.038461538461538464,7
RF,class_weight,38,0.11261456149411332,0.5964601769911505,0.0423728813559322,118,5,0.2,0.2,0.4,0.02666666666666667,0.0970873786407767,1.0,0.05102040816326531,0.03,0.08,0.8,0.042105263157894736,7
RF,class_weight,39,0.05874778956675508,0.588495575221239,0.0423728813559322,118,5,0.0,0.0,0.0,0.07,0.14492753623188406,1.0,0.078125,0.03666666666666667,0.11235955056179775,1.0,0.05952380952380952,7
RF,class_weight,40,0.12205434622536507,0.5964912280701755,0.04201680672268908,119,5,0.2,0.2,0.4,0.016666666666666666,0.08333333333333333,1.0,0.043478260869565216,0.023333333333333334,0.08547008547008547,1.0,0.044642857142857144,8
RF,class_weight,41,0.03322204018518689,0.2398230088495575,0.0423728813559322,118,5,0.0,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,8
RF,class_weight,42,0.03346548159450384,0.28761061946902655,0.0423728813559322,118,5,0.0,0.0,0.0,0.23666666666666666,0.0,0.0,0.0,0.04666666666666667,0.025974025974025976,0.2,0.013888888888888888,8
RF,class_weight,43,0.05313829787234042,0.5123893805309735,0.0423728813559322,118,5,0.0,0.0,0.2,0.15,0.0,0.0,0.0,0.043333333333333335,0.07058823529411765,0.6,0.0375,8
RF,class_weight,44,0.0521050381937832,0.4053097345132744,0.0423728813559322,118,5,0.0,0.2,0.2,0.10333333333333333,0.04878048780487805,0.2,0.027777777777777776,0.03666666666666667,0.04597701149425287,0.4,0.024390243902439025,8
RF,class_weight,45,0.05392633535742426,0.5236842105263158,0.04201680672268908,119,5,0.0,0.0,0.2,0.29333333333333333,0.0,0.0,0.0,0.02,0.08695652173913043,1.0,0.045454545454545456,9
RF,class_weight,46,0.08086799620132953,0.5460176991150443,0.0423728813559322,118,5,0.0,0.2,0.4,0.04666666666666667,0.08,0.8,0.042105263157894736,0.03333333333333333,0.09174311926605505,1.0,0.04807692307692308,9
RF,class_weight,47,0.11001069261218391,0.5469026548672566,0.0423728813559322,118,5,0.2,0.2,0.2,0.04666666666666667,0.10126582278481013,0.8,0.05405405405405406,0.04666666666666667,0.10126582278481013,0.8,0.05405405405405406,9
RF,class_weight,48,0.04486390611107434,0.4672566371681416,0.0423728813559322,118,5,0.0,0.0,0.0,0.07,0.07017543859649122,0.4,0.038461538461538464,0.04,0.075,0.6,0.04,9
RF,class_weight,49,0.04466144184454044,0.38318584070796463,0.0423728813559322,118,5,0.0,0.0,0.0,0.10333333333333333,0.0,0.0,0.0,0.04,0.04819277108433735,0.4,0.02564102564102564,9
RF,ROS,0,0.15383446340893148,0.7403508771929824,0.04201680672268908,119,5,0.2,0.4,0.4,0.016666666666666666,0.09345794392523364,1.0,0.049019607843137254,0.02,0.09803921568627451,1.0,0.05154639175257732,0
RF,ROS,1,0.03758272905791917,0.24690265486725663,0.0423728813559322,118,5,0.0,0.0,0.2,0.05,0.03333333333333333,0.2,0.01818181818181818,0.023333333333333334,0.024096385542168676,0.2,0.01282051282051282,0
