model,product,feature,importance_mean,importance_std,method
LogReg|class_weight,RG3,Mold_Temperature_4,-0.011306285469955,0.0211610942238373,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Average_Back_Pressure,-0.0116650327725646,0.0233322468366294,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Mold_Temperature_4,0.0135439843129868,0.0362941815419136,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Mold_Temperature_3,0.013522915163313,0.0326413466416942,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Max_Injection_Speed,0.0096978544157995,0.0355206770355301,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Clamp_Close_Time,0.008798945394126,0.0262345870686628,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Max_Back_Pressure,0.0054282265171299,0.0224780997922459,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Cycle_Time,0.0047187375887168,0.0247758557720619,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Barrel_Temperature_4,0.0045049086773573,0.0217526808712385,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Plasticizing_Time,0.0031011568921331,0.0315938411949947,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Max_Screw_RPM,0.0029502587272344,0.0253299717637743,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Average_Back_Pressure,0.002256421875222,0.0241209915240877,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Hopper_Temperature,0.0021610073757115,0.046339054085332,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Filling_Time,0.0018098400257809,0.0146323118042566,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Cushion_Position,0.0014779137947523,0.0190347040221275,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Barrel_Temperature_5,0.0011565793856127,0.0301940882082788,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Barrel_Temperature_6,0.0006717098618434,0.0251090578806958,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Clamp_Open_Position,0.0,0.0,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Injection_Time,-8.281573498966355e-07,5.855956780012911e-06,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Average_Screw_RPM,-0.0011483472043533,0.0096789093747791,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Barrel_Temperature_3,-0.0026620843945392,0.0463565309876963,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Barrel_Temperature_2,-0.0027520899142671,0.0286580752082212,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Plasticizing_Position,-0.0040055260398627,0.033233698944306,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Max_Switch_Over_Pressure,-0.0061576992696842,0.0302857642289964,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Barrel_Temperature_1,-0.0071922446724518,0.0241834092004262,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
RF|class_weight,RG3,Max_Injection_Pressure,-0.0096393175946103,0.0198866366952843,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Barrel_Temperature_3,0.6072088754331496,0.15248287040986308,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Barrel_Temperature_5,0.5504519999495128,0.17923994991453915,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
HGB|class_weight,RG3,Plasticizing_Time,0.4841811289880058,0.11446213772869952,"SHAP mean|value| (전체 데이터 학습, log-odds; std = 50개 fold 모델 간)"
