candidate,fold,inner_prauc,prauc,roc_auc,recall_at_20
LogReg L1 C=0.3 [S0],2,0.042086963569624575,0.032583665757834473,0.2513274336283186,0.0
RF leaf=1 [S0],2,0.0404825120796775,0.043221678240933696,0.45309734513274336,0.0
RF leaf=5 [S0],2,0.038758260432045166,0.03593635180032484,0.31150442477876106,0.0
RF leaf=20 [S0],2,0.04302463248764178,0.032071006199759416,0.24424778761061947,0.0
RF 균형배깅 (subsample 30%) [S0],2,0.04063570671378672,0.03092414204135494,0.21061946902654868,0.0
ExtraTrees leaf=5 [S0],2,0.04082945209602632,0.03297744588295949,0.26017699115044246,0.0
HGB d=2 lr=.05 it=100 [S0],2,0.04324972933352693,0.05390752783005294,0.5451327433628319,0.0
HGB d=3 lr=.05 it=200 [S0],2,0.044432671968025875,0.056563633253506676,0.5769911504424778,0.0
HGB d=2 강한 규제 [S0],2,0.043781430046362625,0.0386434478050952,0.37168141592920356,0.0
SVM RBF [S0],2,0.03234640276063907,0.041205153110332994,0.42123893805309737,0.0
kNN k=15 [S0],2,0.04507602371289923,0.043293238563878254,0.46194690265486726,0.0
Naive Bayes [S0],2,0.038777622508381224,0.04050104322482975,0.4070796460176991,0.0
LogReg L2 C=0.1 [S2],2,0.04072461586747151,0.033077790602062444,0.2743362831858407,0.0
RF leaf=5 [S2],2,0.035783088325519276,0.030966609483034823,0.2106194690265487,0.0
HGB d=2 강한 규제 [S2],2,0.03280513178699149,0.03926828311303751,0.3787610619469027,0.0
LogReg L2 C=0.1 [S3],2,0.045535727542551085,0.039618744171003396,0.3805309734513274,0.0
RF leaf=5 [S3],2,0.03381836675616423,0.03220359244949409,0.25132743362831855,0.0
HGB d=2 강한 규제 [S3],2,0.03330896390901157,0.03764876089606954,0.30796460176991153,0.2
LogReg L2 C=0.01 [S0],3,0.03180720894444519,0.036740122162059165,0.34690265486725663,0.0
LogReg L2 C=0.1 [S0],3,0.03282212763850839,0.03797052706052578,0.368141592920354,0.0
LogReg L2 C=1 [S0],3,0.03330544651066871,0.038280445359794996,0.3752212389380531,0.0
LogReg L1 C=0.05 [S0],3,0.03612060717602246,0.042953977056938195,0.4283185840707964,0.0
LogReg L1 C=0.3 [S0],3,0.033034655568788165,0.038134318579542886,0.3699115044247787,0.0
RF leaf=1 [S0],3,0.040435598707539475,0.06147897146126887,0.5513274336283186,0.2
RF leaf=5 [S0],3,0.0358648832918685,0.06073007578046772,0.4814159292035398,0.2
RF leaf=20 [S0],3,0.035068262726855134,0.03838211931521791,0.30973451327433627,0.2
RF 균형배깅 (subsample 30%) [S0],3,0.03303114373219837,0.10630576541418589,0.49734513274336284,0.2
ExtraTrees leaf=5 [S0],3,0.03214678910447529,0.03611232441690205,0.3168141592920354,0.0
HGB d=2 lr=.05 it=100 [S0],3,0.03443867325015145,0.07558491323218865,0.5106194690265486,0.2
