algo,imbalance,fold,n_train_normals,n_test_normals,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
Mahalanobis,normal_only,4,453,113,0.054070870667994125,0.5274336283185841,0.0423728813559322,118,5,0.0,0.0,0.2,0.21864202443273756,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.3583546652465049,0.09345794392523364,1.0,0.049019607843137254,0.864406779661017
Mahalanobis,normal_only,5,452,114,0.03062961192641199,0.1947368421052632,0.04201680672268908,119,5,0.0,0.0,0.0,0.697779242363766,0.0,0.0,0.0,0.17647058823529413,0.435012434233239,0.020618556701030927,0.2,0.010869565217391304,0.773109243697479
Mahalanobis,normal_only,6,453,113,0.06448102655933981,0.47433628318584076,0.0423728813559322,118,5,0.0,0.2,0.2,0.6765209142663019,0.06060606060606061,0.2,0.03571428571428571,0.23728813559322035,0.34246147410258426,0.09009009009009009,1.0,0.04716981132075472,0.8983050847457628
Mahalanobis,normal_only,7,453,113,0.0767562005764253,0.6106194690265487,0.0423728813559322,118,5,0.0,0.2,0.4,0.15752359405247604,0.08130081300813008,1.0,0.0423728813559322,1.0,0.31246514498316963,0.09009009009009009,1.0,0.04716981132075472,0.8983050847457628
Mahalanobis,normal_only,8,453,113,0.04664480090905944,0.4654867256637168,0.0423728813559322,118,5,0.0,0.0,0.0,0.7464421224353721,0.0,0.0,0.0,0.1864406779661017,0.3583568481248241,0.06593406593406594,0.6,0.03488372093023256,0.7288135593220338
Mahalanobis,normal_only,9,453,113,0.06798340548340548,0.6212389380530974,0.0423728813559322,118,5,0.0,0.0,0.4,0.9063912785980693,0.0,0.0,0.0,0.07627118644067797,0.3225516545081585,0.09090909090909091,1.0,0.047619047619047616,0.8898305084745762
Mahalanobis,normal_only,10,452,114,0.047625599947581365,0.4736842105263158,0.04201680672268908,119,5,0.0,0.0,0.0,0.709305255065234,0.0,0.0,0.0,0.17647058823529413,0.3680711579796728,0.0784313725490196,0.8,0.041237113402061855,0.8151260504201681
Mahalanobis,normal_only,11,453,113,0.05373437806456675,0.4513274336283186,0.0423728813559322,118,5,0.0,0.0,0.2,0.37763669775163267,0.06451612903225806,0.6,0.03409090909090909,0.7457627118644068,0.38793847450269375,0.06593406593406594,0.6,0.03488372093023256,0.7288135593220338
Mahalanobis,normal_only,12,453,113,0.03568287510001625,0.32389380530973455,0.0423728813559322,118,5,0.0,0.0,0.0,0.6388168525509509,0.0,0.0,0.0,0.2966101694915254,0.39575769247936626,0.043478260869565216,0.4,0.022988505747126436,0.7372881355932204
Mahalanobis,normal_only,13,453,113,0.1375797373358349,0.727433628318584,0.0423728813559322,118,5,0.2,0.4,0.6,0.17655863009072703,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406,0.30890403322296583,0.09174311926605505,1.0,0.04807692307692308,0.8813559322033898
