feature,bin,rule,n_normal,fp,fp_rate,n_defect,fn,fn_rate
Cushion_Position,"Q2 [-1.11, -0.32]",F1max,143,73,0.5104895104895105,5,1,0.2
Cushion_Position,"Q3 [-0.32, 0.48]",F1max,138,65,0.47101449275362317,9,3,0.3333333333333333
Cushion_Position,"Q4 [0.48, 2.87]",F1max,144,51,0.3541666666666667,4,3,0.75
Cushion_Position,"Q1 [-1.91, -1.11]",Recall80,141,136,0.9645390070921985,7,1,0.14285714285714285
Cushion_Position,"Q2 [-1.11, -0.32]",Recall80,143,137,0.958041958041958,5,0,0.0
Cushion_Position,"Q3 [-0.32, 0.48]",Recall80,138,137,0.9927536231884058,9,0,0.0
Cushion_Position,"Q4 [0.48, 2.87]",Recall80,144,133,0.9236111111111112,4,0,0.0
Plasticizing_Position,"Q1 [-2.54, -0.97]",F1max,140,58,0.4142857142857143,8,2,0.25
Plasticizing_Position,"Q2 [-0.97, -0.19]",F1max,142,78,0.5492957746478874,6,6,1.0
Plasticizing_Position,"Q3 [-0.19, 0.59]",F1max,139,70,0.5035971223021583,8,3,0.375
Plasticizing_Position,"Q4 [0.59, 2.93]",F1max,145,47,0.32413793103448274,3,3,1.0
Plasticizing_Position,"Q1 [-2.54, -0.97]",Recall80,140,136,0.9714285714285714,8,0,0.0
Plasticizing_Position,"Q2 [-0.97, -0.19]",Recall80,142,137,0.9647887323943662,6,0,0.0
Plasticizing_Position,"Q3 [-0.19, 0.59]",Recall80,139,134,0.9640287769784173,8,0,0.0
Plasticizing_Position,"Q4 [0.59, 2.93]",Recall80,145,136,0.9379310344827586,3,1,0.3333333333333333
Max_Injection_Speed,"Q1 [-2.52, -0.95]",F1max,140,70,0.5,8,6,0.75
Max_Injection_Speed,"Q2 [-0.95, -0.17]",F1max,146,63,0.4315068493150685,2,2,1.0
Max_Injection_Speed,"Q3 [-0.17, 0.62]",F1max,137,66,0.48175182481751827,10,3,0.3
Max_Injection_Speed,"Q4 [0.62, 2.19]",F1max,143,54,0.3776223776223776,5,3,0.6
Max_Injection_Speed,"Q1 [-2.52, -0.95]",Recall80,140,137,0.9785714285714285,8,1,0.125
Max_Injection_Speed,"Q2 [-0.95, -0.17]",Recall80,146,138,0.9452054794520548,2,0,0.0
Max_Injection_Speed,"Q3 [-0.17, 0.62]",Recall80,137,130,0.948905109489051,10,0,0.0
Max_Injection_Speed,"Q4 [0.62, 2.19]",Recall80,143,138,0.965034965034965,5,0,0.0
Max_Screw_RPM,= -2.01,F1max,44,19,0.4318181818181818,1,1,1.0
Max_Screw_RPM,= -0.67,F1max,243,107,0.4403292181069959,10,4,0.4
Max_Screw_RPM,= 0.68,F1max,236,114,0.4830508474576271,12,7,0.5833333333333334
Max_Screw_RPM,= 2.02,F1max,43,13,0.3023255813953488,2,2,1.0
Max_Screw_RPM,= -2.01,Recall80,44,41,0.9318181818181818,1,0,0.0
Max_Screw_RPM,= -0.67,Recall80,243,230,0.9465020576131687,10,1,0.1
