set,model_name,algo,imbalance,fold,n_features_used,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
S0 원본,LogReg,LogReg,class_weight|feat=S0,42,21,0.03856678522626798,0.368141592920354,0.0423728813559322,118,5,0.0,0.0,0.0,0.4464233430384832,0.03636363636363636,0.2,0.02,0.423728813559322,0.21038576726330777,0.06741573033707865,0.6,0.03571428571428571,0.711864406779661
S0 원본,LogReg,LogReg,class_weight|feat=S0,43,21,0.039002278359971124,0.3769911504424779,0.0423728813559322,118,5,0.0,0.0,0.0,0.9730055204720035,0.0,0.0,0.0,0.0,0.06442534187590648,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136
S0 원본,LogReg,LogReg,class_weight|feat=S0,44,21,0.04598955564573495,0.4283185840707965,0.0423728813559322,118,5,0.0,0.0,0.2,0.8120346856617363,0.0,0.0,0.0,0.03389830508474576,0.07062303929975228,0.08547008547008547,1.0,0.044642857142857144,0.9491525423728814
S0 원본,LogReg,LogReg,class_weight|feat=S0,45,21,0.03468577312605989,0.29824561403508776,0.04201680672268908,119,5,0.0,0.0,0.0,0.4107519911100846,0.03508771929824561,0.2,0.019230769230769232,0.4369747899159664,0.04115445810485594,0.08547008547008547,1.0,0.044642857142857144,0.9411764705882353
S0 원본,LogReg,LogReg,class_weight|feat=S0,46,21,0.054842034523797066,0.5539823008849558,0.0423728813559322,118,5,0.0,0.0,0.0,0.018425198903728287,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.060857759903307676,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136
S0 원본,LogReg,LogReg,class_weight|feat=S0,47,21,0.033680456964039054,0.2831858407079646,0.0423728813559322,118,5,0.0,0.0,0.0,0.8867324416291092,0.0,0.0,0.0,0.00847457627118644,0.09640782559153965,0.05504587155963303,0.6,0.028846153846153848,0.8813559322033898
S0 원본,LogReg,LogReg,class_weight|feat=S0,48,21,0.061230882938200004,0.5575221238938053,0.0423728813559322,118,5,0.0,0.0,0.2,0.006540027624609598,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.06302661466344282,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272
S0 원본,LogReg,LogReg,class_weight|feat=S0,49,21,0.03484539129956553,0.2938053097345133,0.0423728813559322,118,5,0.0,0.0,0.0,0.11864884779916575,0.06,0.6,0.031578947368421054,0.8050847457627118,0.12175425437077773,0.06060606060606061,0.6,0.031914893617021274,0.7966101694915254
S0 원본,RF,RF,class_weight|feat=S0,0,21,0.12884684684684686,0.6850877192982456,0.04201680672268908,119,5,0.2,0.4,0.4,0.013333333333333334,0.08196721311475409,1.0,0.042735042735042736,0.9831932773109243,0.03333333333333333,0.09345794392523364,1.0,0.049019607843137254,0.8571428571428571
S0 원본,RF,RF,class_weight|feat=S0,1,21,0.03800555379681499,0.2557522123893805,0.0423728813559322,118,5,0.0,0.0,0.2,0.1,0.034482758620689655,0.2,0.018867924528301886,0.4491525423728814,0.05333333333333334,0.024096385542168676,0.2,0.01282051282051282,0.6610169491525424
S0 원본,RF,RF,class_weight|feat=S0,2,21,0.039696969696969696,0.40353982300884955,0.0423728813559322,118,5,0.0,0.0,0.0,0.03,0.09523809523809523,1.0,0.05,0.847457627118644,0.03333333333333333,0.10101010101010101,1.0,0.05319148936170213,0.7966101694915254
S0 원본,RF,RF,class_weight|feat=S0,3,21,0.07394865213763142,0.5566371681415929,0.0423728813559322,118,5,0.0,0.2,0.4,0.2966666666666667,0.0,0.0,0.0,0.025423728813559324,0.016666666666666666,0.08771929824561403,1.0,0.045871559633027525,0.923728813559322
S0 원본,RF,RF,class_weight|feat=S0,4,21,0.0378317760486786,0.37522123893805315,0.0423728813559322,118,5,0.0,0.0,0.0,0.21666666666666667,0.0,0.0,0.0,0.11016949152542373,0.04666666666666667,0.05194805194805195,0.4,0.027777777777777776,0.6101694915254238
S0 원본,RF,RF,class_weight|feat=S0,5,21,0.3224761901590708,0.46315789473684205,0.04201680672268908,119,5,0.4,0.4,0.4,0.16666666666666666,0.36363636363636365,0.4,0.3333333333333333,0.05042016806722689,0.04666666666666667,0.04938271604938271,0.4,0.02631578947368421,0.6386554621848739
S0 원본,RF,RF,class_weight|feat=S0,6,21,0.035990009447379886,0.32831858407079645,0.0423728813559322,118,5,0.0,0.0,0.0,0.14666666666666667,0.0,0.0,0.0,0.1694915254237288,0.05,0.07317073170731707,0.6,0.03896103896103896,0.652542372881356
S0 원본,RF,RF,class_weight|feat=S0,7,21,0.04877101533621375,0.47699115044247786,0.0423728813559322,118,5,0.0,0.0,0.2,0.04,0.10309278350515463,1.0,0.05434782608695652,0.7796610169491526,0.043333333333333335,0.0851063829787234,0.8,0.0449438202247191,0.7542372881355932
S0 원본,RF,RF,class_weight|feat=S0,8,21,0.08342261079896193,0.6876106194690266,0.0423728813559322,118,5,0.0,0.2,0.4,0.04666666666666667,0.125,1.0,0.06666666666666667,0.635593220338983,0.023333333333333334,0.09900990099009901,1.0,0.052083333333333336,0.8135593220338984
S0 원본,RF,RF,class_weight|feat=S0,9,21,0.06196594810803158,0.504424778761062,0.0423728813559322,118,5,0.0,0.2,0.2,0.29333333333333333,0.0,0.0,0.0,0.0423728813559322,0.03,0.09615384615384616,1.0,0.050505050505050504,0.8389830508474576
S0 원본,RF,RF,class_weight|feat=S0,10,21,0.0348544266191325,0.27192982456140347,0.04201680672268908,119,5,0.0,0.0,0.0,0.07333333333333333,0.0,0.0,0.0,0.42857142857142855,0.02666666666666667,0.07692307692307693,0.8,0.04040404040404041,0.8319327731092437
S0 원본,RF,RF,class_weight|feat=S0,11,21,0.16025964531253245,0.6008849557522125,0.0423728813559322,118,5,0.2,0.2,0.4,0.006666666666666667,0.08130081300813008,1.0,0.0423728813559322,1.0,0.016666666666666666,0.08547008547008547,1.0,0.044642857142857144,0.9491525423728814
S0 원본,RF,RF,class_weight|feat=S0,12,21,0.0405303622041118,0.37433628318584067,0.0423728813559322,118,5,0.0,0.0,0.2,0.08666666666666667,0.07407407407407407,0.4,0.04081632653061224,0.4152542372881356,0.03,0.05660377358490566,0.6,0.0297029702970297,0.8559322033898306
S0 원본,RF,RF,class_weight|feat=S0,13,21,0.03595344461950632,0.32123893805309733,0.0423728813559322,118,5,0.0,0.0,0.0,0.2866666666666667,0.0,0.0,0.0,0.05084745762711865,0.03666666666666667,0.047058823529411764,0.4,0.025,0.6779661016949152
S0 원본,RF,RF,class_weight|feat=S0,14,21,0.07287284610814022,0.6212389380530974,0.0423728813559322,118,5,0.0,0.2,0.2,0.24,0.0,0.0,0.0,0.025423728813559324,0.02666666666666667,0.09433962264150944,1.0,0.04950495049504951,0.8559322033898306
S0 원본,RF,RF,class_weight|feat=S0,15,21,0.08306878306878307,0.5096491228070176,0.04201680672268908,119,5,0.0,0.2,0.4,0.10666666666666667,0.09090909090909091,0.4,0.05128205128205128,0.3277310924369748,0.023333333333333334,0.07272727272727272,0.8,0.0380952380952381,0.8823529411764706
