algo,imbalance,fold,selected,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
NestedSearch(best-of-candidates),class_weight,25,HGB d=3 lr=.05 it=200 [S0],0.046939978282997424,0.4807017543859649,0.04201680672268908,119,5,0.0,0.0,0.0,0.21522916264579972,0.0,0.0,0.0,0.13445378151260504,0.0045497400229332395,0.09345794392523364,1.0,0.049019607843137254,0.8571428571428571
NestedSearch(best-of-candidates),class_weight,26,SVM RBF [S0],0.04259980357806445,0.35575221238938054,0.0423728813559322,118,5,0.0,0.0,0.2,0.06482682484764701,0.0,0.0,0.0,0.0,0.04040518705273318,0.08130081300813008,1.0,0.0423728813559322,1.0
NestedSearch(best-of-candidates),class_weight,27,HGB d=3 lr=.05 it=200 [S0],0.06776696095348482,0.5964601769911504,0.0423728813559322,118,5,0.0,0.2,0.2,0.2672220760997017,0.1,0.2,0.06666666666666667,0.1271186440677966,0.0012408726375050059,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272
NestedSearch(best-of-candidates),class_weight,28,RF leaf=1 [S0],0.07431704936559307,0.3973451327433628,0.0423728813559322,118,5,0.2,0.2,0.2,0.335,0.0,0.0,0.0,0.03389830508474576,0.045,0.04081632653061224,0.4,0.021505376344086023,0.788135593220339
NestedSearch(best-of-candidates),class_weight,29,RF leaf=1 [S0],0.08577338006943529,0.5495575221238939,0.0423728813559322,118,5,0.0,0.2,0.4,0.105,0.16216216216216217,0.6,0.09375,0.2711864406779661,0.02,0.07207207207207207,0.8,0.03773584905660377,0.8983050847457628
NestedSearch(best-of-candidates),class_weight,30,HGB d=3 lr=.05 it=200 [S0],0.07874299185755682,0.5964912280701754,0.04201680672268908,119,5,0.0,0.2,0.2,0.22930346456563291,0.09523809523809523,0.2,0.0625,0.13445378151260504,0.004398554441279004,0.08928571428571429,1.0,0.04672897196261682,0.8991596638655462
NestedSearch(best-of-candidates),class_weight,31,HGB d=2 강한 규제 [S0],0.04433105051322214,0.431858407079646,0.0423728813559322,118,5,0.0,0.0,0.0,0.4503897977090241,0.046511627906976744,0.2,0.02631578947368421,0.3220338983050847,0.09215284796025038,0.07142857142857142,0.8,0.037383177570093455,0.9067796610169492
NestedSearch(best-of-candidates),class_weight,32,HGB d=3 lr=.05 it=200 [S0],0.04540403008931336,0.39292035398230096,0.0423728813559322,118,5,0.0,0.0,0.2,0.025290576092851028,0.05063291139240506,0.4,0.02702702702702703,0.6271186440677966,0.010621015034779956,0.0625,0.6,0.03296703296703297,0.7711864406779662
NestedSearch(best-of-candidates),class_weight,33,RF leaf=1 [S0],0.05236651592527053,0.4132743362831858,0.0423728813559322,118,5,0.0,0.2,0.2,0.295,0.0,0.0,0.0,0.0423728813559322,0.035,0.06060606060606061,0.6,0.031914893617021274,0.7966101694915254
NestedSearch(best-of-candidates),class_weight,34,SVM RBF [S0],0.03344511803626582,0.2743362831858407,0.0423728813559322,118,5,0.0,0.0,0.0,0.08236752763433872,0.0,0.0,0.0,0.0,0.033878483901407165,0.043478260869565216,0.4,0.022988505747126436,0.7372881355932204
NestedSearch(best-of-candidates),class_weight,35,RF leaf=1 [S0],0.11235940530058178,0.5885964912280702,0.04201680672268908,119,5,0.2,0.4,0.4,0.29,0.0,0.0,0.0,0.025210084033613446,0.025,0.07339449541284404,0.8,0.038461538461538464,0.8739495798319328
