scheme,algo,imbalance,n_train_first,n_pos_train_first,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80
변화점 이전→이후,LogReg,SMOTE,340,15,0.04023963709188806,0.4074688796680498,0.0398406374501992,251,10,0.0,0.1,0.2,0.4909409439885898,0.06349206349206349,0.8,0.03305785123966942,0.12181832281686937,0.07692307692307693,1.0,0.04
변화점 이전→이후,RF,class_weight,340,15,0.1113604403629066,0.39709543568464734,0.0398406374501992,251,10,0.2,0.2,0.3,0.20333333333333334,0.16666666666666666,0.1,0.5,0.05333333333333334,0.06976744186046512,0.3,0.039473684210526314
변화점 이전→이후,RF,ROS,340,15,0.11486837127597109,0.4649377593360996,0.0398406374501992,251,10,0.2,0.3,0.3,0.21,0.0,0.0,0.0,0.04,0.0967741935483871,0.3,0.057692307692307696
변화점 이전→이후,RF,SMOTE,340,15,0.08693027258332983,0.40767634854771784,0.0398406374501992,251,10,0.2,0.2,0.3,0.24333333333333335,0.0,0.0,0.0,0.04666666666666667,0.038461538461538464,0.3,0.02054794520547945
변화점 이전→이후,HGB,class_weight,340,15,0.07383602734851143,0.5024896265560166,0.0398406374501992,251,10,0.1,0.1,0.2,0.16207507093308227,0.0,0.0,0.0,0.005021195905716173,0.07017543859649122,0.2,0.0425531914893617
변화점 이전→이후,HGB,ROS,340,15,0.08866307642699714,0.5016597510373444,0.0398406374501992,251,10,0.1,0.1,0.2,0.07735900671857994,0.125,0.1,0.16666666666666666,0.012832689222338642,0.05,0.1,0.03333333333333333
변화점 이전→이후,HGB,SMOTE,340,15,0.04255545636088321,0.4244813278008299,0.0398406374501992,251,10,0.1,0.1,0.1,0.19528107025597996,0.0,0.0,0.0,0.005726580361587806,0.037037037037037035,0.1,0.022727272727272728
변화점 이후→이전,LogReg,class_weight,251,10,0.04657796930403757,0.4771282051282051,0.04411764705882353,340,15,0.0,0.13333333333333333,0.2,0.032244731466281075,0.06629834254143646,0.4,0.03614457831325301,0.043661687894161604,0.07317073170731707,0.4,0.040268456375838924
변화점 이후→이전,LogReg,ROS,251,10,0.04823453906798143,0.47364102564102567,0.04411764705882353,340,15,0.0,0.13333333333333333,0.26666666666666666,0.018706563351643214,0.08955223880597014,0.6,0.04838709677419355,0.022602270909280346,0.07253886010362694,0.4666666666666667,0.03932584269662921
변화점 이후→이전,LogReg,SMOTE,251,10,0.04792933243555414,0.4814358974358974,0.04411764705882353,340,15,0.0,0.13333333333333333,0.2,0.028792700075657967,0.0641025641025641,0.3333333333333333,0.03546099290780142,0.028792700075657967,0.0641025641025641,0.3333333333333333,0.03546099290780142
변화점 이후→이전,RF,class_weight,251,10,0.0431187110647156,0.43343589743589744,0.04411764705882353,340,15,0.06666666666666667,0.06666666666666667,0.2,0.013333333333333334,0.08092485549132948,0.9333333333333333,0.04229607250755287,0.03333333333333333,0.08135593220338982,0.8,0.04285714285714286
변화점 이후→이전,RF,ROS,251,10,0.04526758964386846,0.43979487179487176,0.04411764705882353,340,15,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.01,0.0851063829787234,0.9333333333333333,0.044585987261146494,0.013333333333333334,0.0718954248366013,0.7333333333333333,0.037800687285223365
변화점 이후→이전,RF,SMOTE,251,10,0.03994680869598873,0.4228717948717949,0.04411764705882353,340,15,0.0,0.06666666666666667,0.13333333333333333,0.043333333333333335,0.072992700729927,0.6666666666666666,0.03861003861003861,0.02,0.08259587020648967,0.9333333333333333,0.043209876543209874
변화점 이후→이전,HGB,class_weight,251,10,0.053617326131403305,0.5214358974358975,0.04411764705882353,340,15,0.06666666666666667,0.06666666666666667,0.2,0.3585053049780833,0.0,0.0,0.0,0.0009329945095359929,0.06504065040650407,0.26666666666666666,0.037037037037037035
변화점 이후→이전,HGB,ROS,251,10,0.04318786645934637,0.4654358974358974,0.04411764705882353,340,15,0.0,0.0,0.2,6.880366878855604e-05,0.08450704225352113,1.0,0.04411764705882353,0.00018225008180738057,0.08163265306122448,0.9333333333333333,0.042682926829268296
변화점 이후→이전,HGB,SMOTE,251,10,0.050617298439691934,0.5204102564102564,0.04411764705882353,340,15,0.0,0.13333333333333333,0.2,0.010634409889251649,0.06060606060606061,0.13333333333333333,0.0392156862745098,0.0010135967599263498,0.09090909090909091,0.8,0.04819277108433735
