n_defects,mde_alpha05,mde_bonferroni
145,0.2377416984505776,0.3315472441781152
146,0.2369261156062373,0.33040985748405916
147,0.23611886925398856,0.3292840966048983
148,0.2353198183354853,0.32816976482501153
149,0.23452882511142953,0.3270666700574196
150,0.23374575506183318,0.3259746247046938
151,0.23297047678991797,0.3248934455249375
152,0.23220286192949874,0.32382295350262585
153,0.23144278505570168,0.32276297372409607
154,0.23069012359887622,0.3217133352574918
155,0.22994475776156684,0.32067387103697426
156,0.22920657043841672,0.31964441775102276
157,0.2284754471388818,0.3186248157346537
158,0.2277512759126396,0.31761490886539834
159,0.2270339472775825,0.31661454446288406
160,0.2263233541502895,0.315623573191873
161,0.2256193917788776,0.314641848968618
162,0.22492195767813622,0.31366922887040366
163,0.22423095156685338,0.3127055730481429
164,0.22354627530724766,0.31175074464191094
165,0.2228678328464215,0.3108046096992976
166,0.22219553015975765,0.30986703709647007
167,0.22152927519618254,0.30893789846183867
168,0.22086897782522422,0.3080170681022255
169,0.22021454978579597,0.30710442293143975
170,0.21956590463663922,0.3061998424011668
171,0.2189229577083629,0.30530320843408376
172,0.21828562605701854,0.3044144053591169
173,0.2176538284191535,0.30353331984876025
174,0.21702748516828724,0.30265984085837844
175,0.2164065182727568,0.30179385956741966
176,0.21579085125488218,0.3009352693224689
177,0.21518040915140216,0.30008396558207284
178,0.21457511847513414,0.29923984586327185
179,0.21397490717781387,0.2984028096897775
180,0.21337970461407235,0.297572758541736
181,0.21278944150650853,0.2967495958070192
182,0.21220404991181932,0.29593322673399103
183,0.2116234631879487,0.29512355838569443
184,0.21104761596222033,0.2943204995954102
185,0.2104764441004186,0.29352396092353805
186,0.20990988467678548,0.29273385461575563
187,0.2093478759449008,0.2919500945624088
188,0.20879035730941575,0.2911725962590918
189,0.20823726929860967,0.2904012767683764
190,0.20768855353774285,0.28963605468265
191,0.20714415272317738,0.2888768500880255
192,0.20660401059724,0.28812358452928605
193,0.20606807192380305,0.2873761809758306
194,0.20553628246455757,0.28663456378858543
195,0.20500858895595742,0.2858986586878509
196,0.20448493908681056,0.28516839272205124
197,0.2039652814764971,0.28444369423735766
198,0.2034495656537931,0.2837244928481571
199,0.20293774203628018,0.2830107194083372
200,0.20242976191032255,0.28230230598336326
201,0.2019255774115921,0.28159918582311855
202,0.20142514150612445,0.2809012933354864
203,0.20092840797188963,0.2802085640606485
204,0.20043533138085906,0.2795209346460764
205,0.1999458670815554,0.2788383428221965
206,0.19945997118206787,0.27816072737870273
207,0.1989776005335203,0.2774880281415027
208,0.19849871271397623,0.2768201859502713
209,0.19802326601276812,0.27615714263659746
210,0.197551219415238,0.2754988410027034
211,0.1970825325878757,0.27484522480071905
212,0.19661716586384334,0.27419623871249527
213,0.19615508022887435,0.2735518283299384
214,0.19569623730753485,0.27291194013585124
215,0.19524059934983712,0.2722765214852647
216,0.19478812921819433,0.27164552058724484
217,0.1943387903747063,0.27101888648716244
218,0.1938925468687664,0.2703965690494097
219,0.1934493633249799,0.2697785189405515
220,0.19300920493138493,0.269164687612899
221,0.19257203742796689,0.2685550272884919
222,0.19213782709545738,0.2679494909434778
223,0.1917065407444103,0.26734803229287846
224,0.19127814570454604,0.2667506057757288
225,0.1908526098143565,0.26615716654058114
226,0.1904299014109635,0.2655676704313615
227,0.19000998932022303,0.26498207397356965
228,0.18959284284706857,0.264400334360812
229,0.1891784317660866,0.2638224094416586
230,0.18876672631231775,0.2632482577068146
231,0.18835769717227696,0.2626778382765973
232,0.1879513154751872,0.2621111108887111
233,0.18754755278441998,0.2615480358863103
234,0.18714638108913725,0.26098857420634386
235,0.1867477727961295,0.2604326873681721
236,0.18635170072184376,0.2598803374624502
237,0.18595813808459738,0.259331487140269
238,0.18556705849697136,0.25878609960254734
239,0.18517843595837916,0.25824413858966877
240,0.18479224484780624,0.25770556837135616
241,0.184408459916715,0.25717035373677727
242,0.18402705628211144,0.2566384599848757
243,0.18364800941976892,0.25610985291492094
244,0.18327129515760457,0.2555844988172714
245,0.18289688966920487,0.2550623644643451
246,0.18252476946749588,0.2545434171017929
247,0.18215491139855464,0.2540276244398674
248,0.1817872926355581,0.2535149546449849
249,0.18142189067286554,0.25300537633147263
250,0.18105868332023162,0.2524988585534984
251,0.18069764869714602,0.25199537079717704
252,0.18033876522729733,0.2514948829728497
253,0.17998201163315652,0.25099736540753037
254,0.17962736693067882,0.2505027888375169
255,0.17927481042411908,0.25001112440116124
256,0.17892432170095923,0.24952234363179482
257,0.1785758806269442,0.24903641845080618
258,0.17822946734122375,0.24855332116086576
259,0.17788506225159756,0.24807302443929502
260,0.17754264602986106,0.24759550133157554
261,0.17720219960724928,0.24712072524499562
262,0.1768637041699769,0.24664866994243012
263,0.17652714115487084,0.24617930953625008
264,0.1761924922450948,0.24571261848236028
265,0.17585973936596194,0.24524857157435956
266,0.1755288646808347,0.24478714393782294
267,0.17519985058710874,0.24432831102470118
268,0.17487267971227996,0.24387204860783543
269,0.17454733491009117,0.24341833277558403
270,0.17422379925675818,0.24296713992655922
271,0.17390205604727205,0.2425184467644704
272,0.17358208879177625,0.24207223029307207
273,0.17326388121201697,0.24162846781121317
274,0.1729474172378648,0.24118713690798663
275,0.17263268100390575,0.24074821545797512
276,0.17231965684610068,0.24031168161659255
277,0.17200832929851073,0.2398775138155173
278,0.17169868309008787,0.23944569075821656
279,0.17139070314152863,0.2390161914155585
280,0.17108437456218972,0.23858899502151104
281,0.17077968264706417,0.23816408106892464
282,0.1704766128738162,0.23774142930539763
283,0.17017515089987426,0.23732101972922173
284,0.1698752825595799,0.23690283258540634
285,0.16957699386139202,0.23648684836177963
286,0.16928027098514498,0.23607304778516447
287,0.16898510027935898,0.23566141181762804
288,0.16869146825860215,0.23525192165280273
289,0.1683993616009028,0.23484455871227747
290,0.16810876714521072,0.2344393046420573
291,0.16781967188890662,0.2340361413090902
292,0.1675320629853583,0.23363505079785893
293,0.16724592774152316,0.23323601540703756
294,0.16696125361559513,0.23283901764620987
295,0.16667802821469574,0.23244404023264956
296,0.1663962392926081,0.23205106608816017
297,0.16611587474755296,0.23166007833597327
298,0.16583692262000568,0.23127106029770453
299,0.16555937109055346,0.23088399549036517
300,0.16528320847779202,0.23049886762342886
301,0.16500842323626047,0.2301156605959518
302,0.16473500395441418,0.22973435849374546
303,0.164462939352634,0.22935494558660088
304,0.16419221828127215,0.2289774063255628
305,0.16392282971873273,0.22860172534025336
306,0.1636547627695872,0.2282278874362438
307,0.16338800666272346,0.22785587759247322
308,0.16312255074952817,0.22748568095871366
309,0.1628583845021012,0.2271172828530801
310,0.16259549751150193,0.22675066875958494
311,0.16233387948602673,0.22638582432573542
312,0.16207352024951652,0.22602273536017384
313,0.1618144097396943,0.22566138783035883
314,0.16155653800653186,0.22530176786028777
315,0.16129989521064483,0.2249438617282585
316,0.16104447162171587,0.22458765586467042
317,0.16079025761694515,0.22423313684986357
318,0.1605372436795277,0.223880291411995
319,0.16028542039715696,0.22352910642495216
320,0.16003477846055428,0.223179568906302
321,0.15978530866202312,0.22283166601527482
322,0.15953700189402872,0.2224853850507833
